Starttime - 2009-11-30 20:40:39.640000
293 : 43071 : 12
294 : 43365 : 24
295 : 43660 : 24
296 : 43956 : 48
297 : 44253 : 16
298 : 44551 : 8
299 : 44850 : 48
300 : 45150 : 48
301 : 45451 : 8
302 : 45753 : 8
303 : 46056 : 32
304 : 46360 : 32
305 : 46665 : 24
306 : 46971 : 12
307 : 47278 : 16
308 : 47586 : 32
309 : 47895 : 16
310 : 48205 : 8
311 : 48516 : 24
312 : 48828 : 24
313 : 49141 : 4
314 : 49455 : 24
315 : 49770 : 48
316 : 50086 : 8
317 : 50403 : 8
318 : 50721 : 16
319 : 51040 : 48
320 : 51360 : 48
321 : 51681 : 16
322 : 52003 : 16
323 : 52326 : 40
324 : 52650 : 60
325 : 52975 : 12
326 : 53301 : 8
327 : 53628 : 24
328 : 53956 : 24
329 : 54285 : 32
330 : 54615 : 16
331 : 54946 : 8
332 : 55278 : 24
333 : 55611 : 12
334 : 55945 : 8
335 : 56280 : 64
336 : 56616 : 32
337 : 56953 : 6
338 : 57291 : 12
339 : 57630 : 32
340 : 57970 : 32
341 : 58311 : 24
342 : 58653 : 24
343 : 58996 : 24
344 : 59340 : 48
345 : 59685 : 16
346 : 60031 : 4
347 : 60378 : 16
348 : 60726 : 16
349 : 61075 : 12
350 : 61425 : 48
351 : 61776 : 80
352 : 62128 : 20
353 : 62481 : 8
354 : 62835 : 16
355 : 63190 : 16
356 : 63546 : 32
357 : 63903 : 16
358 : 64261 : 4
359 : 64620 : 36
360 : 64980 : 54
361 : 65341 : 6
362 : 65703 : 12
363 : 66066 : 48
364 : 66430 : 32
365 : 66795 : 16
366 : 67161 : 8
367 : 67528 : 16
368 : 67896 : 48
369 : 68265 : 24
370 : 68635 : 16
371 : 69006 : 32
372 : 69378 : 16
373 : 69751 : 8
374 : 70125 : 32
375 : 70500 : 48
376 : 70876 : 24
377 : 71253 : 32
378 : 71631 : 16
379 : 72010 : 16
380 : 72390 : 32
381 : 72771 : 8
382 : 73153 : 4
383 : 73536 : 28
384 : 73920 : 112
385 : 74305 : 16
386 : 74691 : 12
387 : 75078 : 24
388 : 75466 : 8
389 : 75855 : 16
390 : 76245 : 32
391 : 76636 : 36
392 : 77028 : 36
393 : 77421 : 8
394 : 77815 : 8
395 : 78210 : 48
396 : 78606 : 24
397 : 79003 : 4
398 : 79401 : 16
399 : 79800 : 96
400 : 80200 : 24
401 : 80601 : 8
402 : 81003 : 16
403 : 81406 : 16
404 : 81810 : 40
405 : 82215 : 40
406 : 82621 : 16
407 : 83028 : 48
408 : 83436 : 24
409 : 83845 : 8
410 : 84255 : 16
411 : 84666 : 16
412 : 85078 : 16
413 : 85491 : 24
414 : 85905 : 24
415 : 86320 : 40
416 : 86736 : 40
417 : 87153 : 16
418 : 87571 : 8
419 : 87990 : 32
420 : 88410 : 32
421 : 88831 : 4
422 : 89253 : 12
423 : 89676 : 36
424 : 90100 : 36
425 : 90525 : 24
426 : 90951 : 16
427 : 91378 : 16
428 : 91806 : 32
429 : 92235 : 32
430 : 92665 : 8
431 : 93096 : 32
432 : 93528 : 32
433 : 93961 : 8
434 : 94395 : 32
435 : 94830 : 32
436 : 95266 : 16
437 : 95703 : 16
438 : 96141 : 8
439 : 96580 : 24
440 : 97020 : 108
441 : 97461 : 36
442 : 97903 : 8
443 : 98346 : 16
444 : 98790 : 32
445 : 99235 : 8
446 : 99681 : 8
447 : 100128 : 48
448 : 100576 : 24
449 : 101025 : 18
450 : 101475 : 36
451 : 101926 : 16
452 : 102378 : 16
453 : 102831 : 8
454 : 103285 : 16
455 : 103740 : 96
456 : 104196 : 24
457 : 104653 : 4
458 : 105111 : 16
459 : 105570 : 64
460 : 106030 : 16
461 : 106491 : 16
462 : 106953 : 16
463 : 107416 : 16
464 : 107880 : 64
465 : 108345 : 16
466 : 108811 : 4
467 : 109278 : 24
468 : 109746 : 48
469 : 110215 : 16
470 : 110685 : 16
471 : 111156 : 24
472 : 111628 : 24
473 : 112101 : 16
474 : 112575 : 24
475 : 113050 : 48
476 : 113526 : 48
477 : 114003 : 12
478 : 114481 : 4
479 : 114960 : 40
480 : 115440 : 80
481 : 115921 : 8
482 : 116403 : 16
483 : 116886 : 48
484 : 117370 : 24
485 : 117855 : 24
486 : 118341 : 12
487 : 118828 : 12
488 : 119316 : 24
